DLSOCTVProces
682.000000 684.000000 488.000000 box dimensions in microns
10   10   10	number of tissue points in x,y,z directions
100.	outer bound distance (100. in test case)
10.	max. segment length.  (5. in test case)
5 nodsegm, max. allowed number of segments per node
5078 total number of segments
name type from  to  diam flow HD
1 4 4 5  17.200 1988.269  0.4000
3 4 4 6  15.200 -1941.690  0.4000
5 4 7 2002   5.700  -6.948  0.4000
10 4 2002 8   5.700  -6.948  0.4000
12 4 7 2007   6.700 -24.162  0.4000
16 4 2007 2011   6.700 -24.162  0.4000
20 4 2011 9   6.700 -24.162  0.4000
21 4 7 10   5.200  31.110  0.4000
23 4 11 2017   7.200  76.137  0.4000
28 4 2017 2022   7.200  76.137  0.4000
33 4 2022 12   7.200  76.137  0.4000
35 4 11 10   6.700 -122.998  0.4000
40 4 10 2031   6.700 -91.888  0.4000
44 4 2031 2082   6.700 -91.888  0.4000
47 4 5 2037  18.200 2060.295  0.4000
51 4 2037 2042  18.200 2060.295  0.4000
58 4 14 2042  18.200 -2060.295  0.4000
59 4 5 2048  12.200 -72.026  0.4000
63 4 2048 2049  12.200 -72.026  0.4000
64 6 2049 15  12.200 -72.026  0.4000
65 4 4 16  13.200 -46.580  0.4000
69 4 17 6  14.700 1845.437  0.4000
70 4 6 2056   7.200 -96.253  0.4000
74 4 2056 18   7.200 -96.253  0.4000
75 4 11 19   5.200  46.861  0.4000
77 4 17 2062  14.200 -1815.393  0.4000
82 6 2062 2063  14.200 -1815.393  0.4000
83 6 2063 20  14.200 -1815.393  0.4000
84 4 17 21  13.200 -30.044  0.4000
86 4 22 2069   6.200 -14.647  0.4000
91 4 2069 2074   6.200 -14.647  0.4000
96 4 2074 2078   6.200 -14.647  0.4000
100 4 2078 23   6.200 -14.647  0.4000
101 4 25 26   4.200  -2.459  0.4000
106 4 2082 2087   6.700 -91.888  0.4000
111 4 2087 27   6.700 -91.888  0.4000
115 4 27 2094  12.200 292.255  0.4000
119 4 2094 29  12.200 292.255  0.4000
121 4 27 30  14.200 -384.144  0.4000
123 4 14 32  15.200 -3007.943  0.4000
127 4 14 2103  23.700 5068.238  0.4000
131 4 2103 11647  23.700 5068.238  0.4000
134 4 34 2111  10.200 116.380  0.4000
139 4 2111 35  10.200 116.380  0.4000
140 4 32 2115  16.200 -2810.637  0.4000
144 4 2115 36  16.200 -2810.637  0.4000
148 4 32 2119  11.700 -197.306  0.4000
149 6 2119 2120  11.700 -197.306  0.4000
150 6 2120 37  11.700 -197.306  0.4000
151 4 34 38  13.700 -1927.138  0.4000
152 4 34 2125  12.200 1810.759  0.4000
157 4 2125 2130  12.200 1810.759  0.4000
162 4 39 2130  12.200 -1810.759  0.4000
163 4 41 2134  27.700 6866.830  0.4000
167 4 2134 42  27.700 6866.830  0.4000
170 4 41 2164  37.200 57737.422  0.4000
173 4 41 2142  34.200 -64604.254  0.4000
177 4 2142 43  34.200 -64604.254  0.4000
179 4 39 44  13.700 546.799  0.4000
180 4 39 45  13.200 1263.959  0.4000
182 4 44 2167  10.200 356.814  0.4000
186 4 49 48  16.200 -2560.537  0.4000
187 4 50 40   6.200 -97.192  0.4000
191 4 51 50   8.200  36.918  0.4000
192 4 50 2155   8.200 134.110  0.4000
197 4 2155 48   8.200 134.110  0.4000
